日期,#35排传感器,#37排传感器
25/09/2022,325,325
26/09/2022,325,325
27/09/2022,325,325
28/09/2022,325,325
29/09/2022,323,323
30/09/2022,321,323
1/10/2022,321,323
2/10/2022,321,323
3/10/2022,321,323
4/10/2022,321,321
5/10/2022,321,321
6/10/2022,321,321
7/10/2022,319,321
8/10/2022,319,321
9/10/2022,319,319
10/10/2022,319,319
11/10/2022,319,319
12/10/2022,319,319
13/10/2022,317,319
14/10/2022,317,317
15/10/2022,317,317
16/10/2022,317,317
17/10/2022,315,315
18/10/2022,315,315
19/10/2022,315,315
20/10/2022,313,313
21/10/2022,313,313
22/10/2022,313,313
23/10/2022,311,311
24/10/2022,311,311
25/10/2022,309,311
26/10/2022,309,309
27/10/2022,309,309
28/10/2022,307,307
29/10/2022,307,307
30/10/2022,305,305
31/10/2022,305,305
1/11/2022,303,303
2/11/2022,303,303
3/11/2022,301,301
4/11/2022,299,301
5/11/2022,299,299
6/11/2022,297,297
7/11/2022,297,297
8/11/2022,295,295
9/11/2022,293,293
10/11/2022,293,293
11/11/2022,291,291
12/11/2022,289,289
13/11/2022,289,289
14/11/2022,287,287
15/11/2022,287,285
16/11/2022,285,283
17/11/2022,283,281
18/11/2022,281,279
19/11/2022,279,277
20/11/2022,277,275
21/11/2022,277,273
22/11/2022,275,271
23/11/2022,273,269
24/11/2022,271,267
25/11/2022,269,265
26/11/2022,267,263
27/11/2022,265,261
28/11/2022,263,259
29/11/2022,261,257
30/11/2022,259,255
1/12/2022,257,253
2/12/2022,255,251
3/12/2022,253,249
4/12/2022,251,247
5/12/2022,249,245
6/12/2022,247,243
7/12/2022,245,241
8/12/2022,243,239
9/12/2022,241,237
10/12/2022,239,235
11/12/2022,237,233
12/12/2022,233,231
13/12/2022,231,229
14/12/2022,229,229
15/12/2022,227,227
16/12/2022,225,225
17/12/2022,223,223
18/12/2022,219,221
19/12/2022,217,217
20/12/2022,215,215
21/12/2022,211,213
22/12/2022,209,211
23/12/2022,207,207
24/12/2022,203,205
25/12/2022,201,203
26/12/2022,197,199
27/12/2022,195,197
28/12/2022,193,195
29/12/2022,189,191
30/12/2022,187,187
31/12/2022,185,185
1/01/2023,183,181
2/01/2023,181,179
3/01/2023,179,177
4/01/2023,175,173
5/01/2023,171,171
6/01/2023,169,167
7/01/2023,165,165
8/01/2023,161,161
9/01/2023,157,159
10/01/2023,153,155
11/01/2023,149,151
12/01/2023,147,149
13/01/2023,145,145
14/01/2023,141,141
15/01/2023,137,139
16/01/2023,135,135
17/01/2023,129,131
18/01/2023,127,129
19/01/2023,123,125
20/01/2023,119,121
21/01/2023,115,119
22/01/2023,111,115
23/01/2023,107,111
24/01/2023,103,109
25/01/2023,99,105
26/01/2023,97,101
27/01/2023,93,97
28/01/2023,89,93
29/01/2023,85,89
30/01/2023,81,85
31/01/2023,77,81
1/02/2023,73,77
2/02/2023,69,73
3/02/2023,65,69
4/02/2023,61,65
5/02/2023,57,61
6/02/2023,53,57
